Customer Name,Plant,Target Quantity,Distance,Freight Rate,Amount
GREENMARK PROPERTIES - KONDAKAL,LKDRM2, 300 ,45.796,2.5," 34,347.00 "
GREENMARK PROPERTIES - KONDAKAL,LKDRM2, 300 ,45.796,2.5," 34,347.00 "
GREENMARK PROPERTIES - KONDAKAL,LKDRM2, 300 ,45.796,2.5," 34,347.00 "
D B S CO - CHILKUR,LKDRM2, 60 ,108.354,2.5," 16,253.10 "
KUNCHALA HANUMANTHA RAO - BN REDDY NAGAR,RSDSH, 60 ,60.326,2.5," 9,048.90 "
PAVAN INFRAS - HMT SWARNAPURI MIYAPUR,GIR, 50 ,66.056,2.9," 9,578.12 "
TRUSTED WALLS INFRA PROJECTS - INJAPUR,RSDSH, 100 ,50.966,2.5," 12,741.50 "
QUALITAS GOLDEN ENCLAVE PRIVATE LIMITED - OSMANNAGAR,GIR II, 300 ,95.078,2.9," 82,717.86 "
QUALITAS GOLDEN ENCLAVE PRIVATE LIMITED - OSMANNAGAR,SLKPY, 100 ,50.65,2.5," 12,662.50 "
NANI ELECTRO TECHNICS PVT LTD - BORABANDA,GIR, 25 ,66.06,2.9," 4,789.35 "
SVS CONSTRUCTIONS - PETBASHEERABAD,GIR, 60 ,36.644,2.9," 6,376.06 "
KSP AVENUES -  KOMPALLY,GIR II, 150 ,33.876,2.9," 14,736.06 "
LAKSHMI INFRA PROJECTS LLP - MADINAGUDA,GIR, 35 ,57.756,2.9," 5,862.23 "
LAKSHMI INFRA PROJECTS LLP - MADINAGUDA,GIR, 35 ,57.756,2.9," 5,862.23 "
LAKSHMI INFRA PROJECTS LLP - MADINAGUDA,GIR, 35 ,57.756,2.9," 5,862.23 "
GAYATHRI CONSTRUCTIONS - NALLAGANDLA,LKDRM2, 30 ,56.434,2.5," 4,232.55 "
NEW LIFE CONSTRUCTIONS - PEDDAMBERPET,RSDSH, 500 ,37.696,100," 50,000.00 "
HEAVENLY HOMES CONSTRUCTIONS - ALKAPURI TOWNSHIP,LKDRM2, 50 ,83.59,2.5," 10,448.75 "
HEAVENLY HOMES CONSTRUCTIONS - ALKAPURI TOWNSHIP,LKDRM2, 50 ,83.59,2.5," 10,448.75 "
VENNAR CONSTRUCTIONS - JUBLEE HILLS RD NO.45,LKDRM2, 25 ,76.134,2.5," 4,758.38 "
VENNAR CONSTRUCTIONS - JUBLEE HILLS RD NO.45,GIR, 50 ,82.422,2.9," 11,951.19 "
VENNAR CONSTRUCTIONS - JUBLEE HILLS RD NO.45,GIR, 50 ,82.422,2.9," 11,951.19 "
K SHYAM SUNDER REDDY - KOKAPET,LKDRM2, 50 ,75.26,2.5," 9,407.50 "
AVISUN PROPERTIES LLP - SAINIKPURI,KSR4, 30 ,32,2.5," 2,400.00 "
AVISUN PROPERTIES LLP - SAINIKPURI,KSR4, 30 ,32,2.5," 2,400.00 "
ANMOL CONSTRUCTIONS - RAMESHWARAM BANDA,LKDRM2, 100 ,35.772,100," 10,000.00 "
LEIGHTON INDIA CONTRACTORS PRIVATE LIMITED - GACHIBOWLI,GIR, 360 ,81.16,2.9," 84,731.04 "
LEIGHTON INDIA CONTRACTORS PRIVATE LIMITED - GACHIBOWLI,GIR, 100 ,81.16,2.9," 23,536.40 "
LEIGHTON INDIA CONTRACTORS PRIVATE LIMITED - GACHIBOWLI,GIR, 50 ,81.16,2.9," 11,768.20 "
ANITHA GOURI MULA - JANWADA,LKDRM2, 25 ,57.246,2.5," 3,577.88 "
SRI HARITHA CONSTRUCTIONS AND DEVELOPERS - UPPAL,RSDSH, 60 ,54.512,2.5," 8,176.80 "
NJR CONSTRUCTIONS PRIVATE LIMITED - BACHUPALLY,GIR, 500 ,42.358,2.9," 61,419.10 "
NJR CONSTRUCTIONS PRIVATE LIMITED - BACHUPALLY,GIR, 500 ,42.358,2.9," 61,419.10 "
NJR CONSTRUCTIONS PRIVATE LIMITED - BACHUPALLY,GIR II, 500 ,42.636,2.9," 61,822.20 "
KARTHIKEYA INFRA - NAGOLE,RSDSH, 100 ,47.082,2.5," 11,770.50 "
JANASHRI INFRASTRUCTURES AND DEVELOPERS - POCHARAM,RSDSH, 60 ,43.38,2.5," 6,507.00 "
OM SREE BUILDERS & DEVELOPERS LLP - KOMPALLY,GIR," 2,100 ",25.442,2.9," 154,941.78 "
OM SREE BUILDERS & DEVELOPERS LLP - KOMPALLY,GIR," 2,100 ",25.442,2.9," 154,941.78 "
OM SREE BUILDERS & DEVELOPERS LLP - KOMPALLY,GIR II," 2,100 ",25.718,2.9," 156,622.62 "
ALPINE INFRATECH  - MACHABOLLARAM,GIR, 50 ,38.246,2.9," 5,545.67 "
ALPINE INFRATECH  - MACHABOLLARAM,GIR II, 100 ,38.522,2.9," 11,171.38 "
VELAGAPUDI PRASAD -BADANGPET,RSDSH, 30 ,74.918,2.5," 5,618.85 "
SRINIVASA CONSTRUCTIONS - KOMPALLY,GIR, 350 ,29.96,2.9," 30,409.40 "
SRINIVASA CONSTRUCTIONS - KOMPALLY,GIR, 200 ,29.96,2.9," 17,376.80 "
ACE INFRA AND DEVELOPERS - HAFEEZPET,LKDRM2, 50 ,63.056,2.5," 7,882.00 "
NAMOSHREE INFRA - HYDERGUDA,RSDSH, 120 ,77.498,2.5," 23,249.40 "
L & W BUILDING SOLUTIONS PVT LTD - RAIDURG VILLAGE,RSDSH, 800 ,110.406,2.5," 220,812.00 "
L & W BUILDING SOLUTIONS PVT LTD - RAIDURG VILLAGE,LKDRM2, 500 ,72.262,2.5," 90,327.50 "
L & W BUILDING SOLUTIONS PVT LTD - RAIDURG VILLAGE,SLKPY, 800 ,64.18,2.5," 128,360.00 "
UNIVERSAL REALTORS PRIVATE LIMITED - GACHIBOWLI,SLKPY, 250 ,56.78,2.5," 35,487.50 "
UNIVERSAL REALTORS PRIVATE LIMITED - GACHIBOWLI,SLKPY, 40 ,56.78,2.5," 5,678.00 "
GAJJALA JANARDHAN REDDY - THATTIANNARAM,RSDSH, 100 ,40.312,100," 10,000.00 "
SAIARC INFRA - PRAGATHI NAGAR,GIR, 100 ,44.418,2.9," 12,881.22 "
SAIARC INFRA - PRAGATHI NAGAR,GIR II, 135 ,44.694,2.9," 17,497.70 "
SREE LAXMI BALAJI CONSTRUCTIONS - KOMPALLY,GIR II, 50 ,33.376,2.9," 4,839.52 "
SHREE VASAVI DEVELOPERS - ATTAPUR,RSDSH, 100 ,98.412,2.5," 24,603.00 "
GT INFRA PROJECTS PRIVATE LIMITED - MADHAPURAM,KSR4, 60 ,30,2.5," 4,500.00 "
GT INFRA PROJECTS PRIVATE LIMITED - MADHAPURAM,KSR4, 60 ,39,2.5," 5,850.00 "
NAMMI SURESH  - MIYAPUR,GIR, 25 ,58.938,2.9," 4,273.01 "
NAMMI SURESH  - MIYAPUR,GIR, 25 ,58.938,2.9," 4,273.01 "
S V CONSTRUCTIONS - GAJULARAMARAM,GIR, 100 ,47.774,2.9," 13,854.46 "
S V CONSTRUCTIONS - GAJULARAMARAM,GIR II, 100 ,48.05,2.9," 13,934.50 "
SV BUILDERS AND DEVELOPERS - BAIRAMALGUDA,RSDSH, 60 ,58.136,2.5," 8,720.40 "
YADAVALLI SRINIVASRAO - NAGARAM,RSDSH, 60 ,34.87,100," 6,000.00 "
SVC CONSTRUCTIONS LLP - JEEDIMETLA,GIR, 100 ,42.26,2.9," 12,255.40 "
PRIMARK ENTERPRISES - GUNDLAPOCHAMPALLY,GIR, 50 ,25.86,2.9," 3,749.70 "
PRIMARK ENTERPRISES - GUNDLAPOCHAMPALLY,GIR, 200 ,25.86,2.9," 14,998.80 "
SVS INFRACON PRIVATE LIMITED - CHANDANAGAR,SLKPY, 100 ,40.02,100," 10,000.00 "
SVS INFRACON PRIVATE LIMITED - CHANDANAGAR,SLKPY, 70 ,40.02,100," 7,000.00 "
SVS INFRACON PRIVATE LIMITED - CHANDANAGAR,LKDRM2, 200 ,54.696,2.5," 27,348.00 "
SVS INFRACON PRIVATE LIMITED - CHANDANAGAR,GIR II, 500 ,69.12,2.9," 100,224.00 "
HARIKA ENTERPRISES - HAYATHNAGAR,RSDSH, 60 ,44.158,2.5," 6,623.70 "
ADITI AVENUES  - (ANNAPURNA RESIDENCY)  KONDAPUR,GIR, 25 ,68.746,2.9," 4,984.09 "
SRIGDHA INFRA DEVELOPERS - VENKATAPURAM,RSDSH, 60 ,38.274,100," 6,000.00 "
SRIGDHA INFRA DEVELOPERS - VENKATAPURAM,RSDSH, 700 ,38.274,100," 70,000.00 "
GREATER INFRA PROJECTS PRIVATE LIMITED - BACHUPALLY,GIR, 30 ,41.458,2.9," 3,606.85 "
GREATER INFRA PROJECTS PRIVATE LIMITED - BACHUPALLY,SLKPY, 150 ,40.46,100," 15,000.00 "
GREATER INFRA PROJECTS PRIVATE LIMITED - BACHUPALLY,GIR, 300 ,41.458,2.9," 36,068.46 "
GREATER INFRA PROJECTS PRIVATE LIMITED - BACHUPALLY,GIR, 200 ,41.458,2.9," 24,045.64 "
DEE VEE PROJECTS LIMITED - BEGUMPET,RSDSH, 70 ,89.044,2.5," 15,582.70 "
NIKHILSAI KRISHNA INFRA LLP - AMEENPUR,GIR, 100 ,62.998,2.9," 18,269.42 "
NIKHILSAI KRISHNA INFRA LLP - AMEENPUR,SLKPY, 100 ,32.98,100," 10,000.00 "
NIKHILSAI KRISHNA INFRA LLP - AMEENPUR,SLKPY, 25 ,32.98,100," 2,500.00 "
CHAGANTIPATI LAVANYA - GAJULARAMARAM,GIR, 50 ,54.296,2.9," 7,872.92 "
Narsing Ex-Works,KSR4, 500 ,0,0, -   
ARK INFRA DEVELOPERS PRIVATE LIMITED - ANNOJIGUDA,RSDSH, 200 ,40.38,100," 20,000.00 "
KANDADI SATHYAVATHI - PEERANCHERUVU,LKDRM2, 70 ,84.472,2.5," 14,782.60 "
G S ASSOCIATES - MACHABOLLARAM,GIR, 100 ,37.074,2.9," 10,751.46 "
G S ASSOCIATES - MACHABOLLARAM,GIR II, 100 ,37.35,2.9," 10,831.50 "
AAKANKSHA ORION HOMES - SHANKARPALLY,GIR, 30 ,101.486,2.9," 8,829.28 "
AAKANKSHA ORION HOMES - SHANKARPALLY,LKDRM2, 100 ,60.672,2.5," 15,168.00 "
SRI UMA RATNA CONSTRUCTIONS - TUNIKI BOLLARAM,GIR II, 100 ,58.784,2.9," 17,047.36 "
JAYABHARATHI INFRA PROJECTS PRIVATE LIMITED - KUKATPALLY,GIR, 25 ,59.96,2.9," 4,347.10 "
VASAVI CONSTRUCTIONS - NARAPALLY,RSDSH, 60 ,35.094,100," 6,000.00 "
VASAVI CONSTRUCTIONS - NARAPALLY,RSDSH, 100 ,35.094,100," 10,000.00 "
NCC URBAN INFRASTRUCTURE LIMITED - KAMKOTE VILLAGE,LKDRM2," 1,500 ",101.406,2.5," 380,272.50 "
NCC URBAN INFRASTRUCTURE LIMITED - KAMKOTE VILLAGE,LKDRM2," 1,500 ",101.406,2.5," 380,272.50 "
NCC URBAN INFRASTRUCTURE LIMITED - KAMKOTE VILLAGE,LKDRM2," 1,200 ",101.406,2.5," 304,218.00 "
CITO AUCTUS INFRASTRUCTURE PRIVATE LIMITED - PATHAKOLKUNDA,GIR, 30 ,163.916,2.9," 14,260.69 "
CITO AUCTUS INFRASTRUCTURE PRIVATE LIMITED - PATHAKOLKUNDA,LKDRM2, 90 ,98.186,2.5," 22,091.85 "
RDC CONCRETE INDIA PRIVATE LTD - KOLLUR,SLKPY," 1,000 ",42.67,2.5," 106,675.00 "
RDC CONCRETE INDIA PRIVATE LTD - KOLLUR,LKDRM2," 1,000 ",45.194,2.5," 112,985.00 "
RDC CONCRETE INDIA PRIVATE LTD - KOLLUR,LKDRM2," 1,000 ",45.194,2.5," 112,985.00 "
VERTEX VEGA DEVELOPERS LLP - BOWRAMPET,GIR, 150 ,40.552,2.9," 17,640.12 "
VERTEX VEGA DEVELOPERS LLP - BOWRAMPET,GIR, 100 ,40.552,2.9," 11,760.08 "
VERTEX VEGA DEVELOPERS LLP - BOWRAMPET,GIR, 50 ,40.552,2.9," 5,880.04 "
SGS CONSTRUCTIONS - MANCHIREVULA,LKDRM2, 50 ,81.376,2.5," 10,172.00 "
